PHX,US,Phoenix,AZ,Phoenix - Sky Harbor Intl
PIT,US,Pittsburgh,PA,Pittsburgh Intl
PWM,US,Portland,ME,Portland Intl (Maine)
PDX,US,Portland,OR,Portland Intl (Oregon)
PSM,US,Portsmouth,NH,PORTSMOUTH INTL AT PEASE
RDU,US,Raleigh-Durham,NC,Raleigh Durham Intl
RDD,US,Redding,CA,Redding Municipal
RNO,US,Reno,NV,Reno Tahoe Intl
RIC,US,Richmond,VA,Richmond Intl
RST,US,Rochester,MN,Rochester Intl
ROC,US,Rochester,NY,Greater Rochester Intl
STL,US,Saint Louis,MO,Lambert St Louis Intl
SLC,US,Salt Lake City,UT,Salt Lake City Intl
SAT,US,San Antonio,TX,San Antonio Intl
SFO,US,San Francisco,CA,San Francisco Intl
SJC,US,San Jose,CA,San Jose Intl
SBA,US,Santa Barbara,CA,Santa Barbara Municipal
SRQ,US,Sarasota,FL,Sarasota Bradenton Intl
SAV,US,Savannah,GA,Savannah Intl
SEA,US,Seattle,WA,Seattle Tacoma Intl
GEG,US,Spokane,WA,Spokane Intl
SCK,US,Stockton,CA,STOCKTON METROPOLITAN
SYR,US,Syracuse,NY,Syracuse - Hancock Intl
TPA,US,Tampa,FL,Tampa Intl
HUF,US,Terre Haute,IN,TERRE HAUTE INTL-HULMAN FIELD
TUS,US,Tucson,AZ,Tucson Intl
TUL,US,Tulsa,OK,Tulsa Intl
VPS,US,Valparaiso,FL,Okaloosa County Regional Airport
ART,US,Watertown,NY,WATERTOWN INTL
PBI,US,West Palm Beach,FL,Palm Beach Intl
ILM,US,Wilmington,NC,Wilmington - New Hanover Intl
WRL,US,Worland,WY,Worland Municipal
YUM,US,Yuma,AZ,Yuma Intl
YYC,US,Calgary,AB,Calgary Intl
YEG,US,Edmonton,AB,Edmonton Intl
YQX,US,Gander,NL,Gander Intl
YHZ,US,Halifax,NS,Halifax Intl
YOJ,US,High Level,AB,Footner Lake Airport
YLL,US,Lloydminister,AB,Lloydminster Airport
YUL,US,Montreal,QC,Montreal - Dorval Intl 
YOW,US,Ottawa,ON,Ottawa Intl
YPE,US,Peace River,AB,Peace River Airport
YZT,US,Port Hardy,BC,Port Hardy Airport
YQB,US,Quebec,QC,Quebec Intl
YOP,US,Rainbow Lake,AB,Rainbow Lake Airport
YYZ,US,Toronto,ON,Toronto - Lester B Pearson Intl
YVR,US,Vancouver,BC,Vancouver Intl
YYJ,US,Victoria,BC,Victoria Intl
YWG,US,Winnipeg,MB,Winnipeg Intl
YVR,US,Vancouver,BC,Vancouver Intl
IAD,US,Washington,DC,Washington - Dulles Intl
CMH,US,Columbus,OH,Port Columbus Intl
ECP,US,Panama City,FL,Northwest Florida Beaches Intl
ACY,US,Egg Harbor City,NJ,Atlantic City Intl
PGD,US,Punta Gorda,FL,Punta Gorda Airport
AZA,US,Mesa,AZ,Phoenix-Mesa Gateway Airport
CSG,US,Columbus,GA,Columbus Metropolitan
SCF,US,Scottsdale,AZ,Scottsdale Municipal Airport
OCF,US,Ocala,FL,Taylor Field Airport
BKG,US,Hollister,MO,Branson Airport
PTK,US,Waterford,MI,Oakland County Intl APO/ADI Hangar 2
